condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,4432,30.3621,30.0691,25.4108,600.133
no_noise,4442,30.3743,30.0973,25.4912,600.131
no_noise,4452,30.3594,30.0972,25.4176,600.136
no_noise,4462,30.3545,30.1495,25.4119,600.13
no_noise,4472,30.3509,30.1917,25.6687,600.13
no_noise,4482,30.3522,30.2274,25.8288,600.127
no_noise,4492,30.33,30.2584,25.9008,600.12
no_noise,4502,30.327,30.2596,25.9937,600.121
no_noise,4512,30.334,30.2807,26.0669,600.12
no_noise,4522,30.3014,30.2551,25.8852,600.115
no_noise,4532,30.28,30.3152,25.8412,600.113
no_noise,4542,30.3077,30.3487,26.0009,600.115
no_noise,4552,30.2625,30.3179,25.7822,600.11
no_noise,4562,30.3019,30.3217,25.9282,600.113
no_noise,4572,30.2419,30.3343,25.6857,600.114
no_noise,4582,30.2782,30.3656,25.8887,600.117
no_noise,4592,30.3022,30.3462,25.9678,600.116
no_noise,4602,30.2929,30.3238,25.9576,600.115
no_noise,4612,30.3066,30.3309,26.0653,600.111
no_noise,4622,30.3104,30.3342,26.0222,600.104
no_noise,4632,30.3401,30.3413,26.1307,600.099
no_noise,4642,30.3172,30.3422,26.0003,600.098
no_noise,4652,30.3828,30.3421,26.1756,600.096
no_noise,4662,30.3939,30.2949,26.1344,600.1
no_noise,4672,30.3961,30.267,26.1605,600.102
no_noise,4682,30.415,30.2506,26.1421,600.105
no_noise,4692,30.4638,30.2763,26.4004,600.103
no_noise,4702,30.4653,30.2883,26.4607,600.103
no_noise,4712,30.5015,30.3304,26.7223,600.104
no_noise,4722,30.4574,30.3075,26.5048,600.104
no_noise,4732,30.5156,30.3373,26.7431,600.105
no_noise,4742,30.4518,30.3285,26.6293,600.108
no_noise,4752,30.4486,30.344,26.7213,600.113
no_noise,4762,30.504,30.3514,26.786,600.116
no_noise,4772,30.4798,30.3842,26.766,600.116
no_noise,4782,30.4807,30.4446,26.9493,600.113
no_noise,4792,30.512,30.4147,26.8924,600.115
no_noise,4802,30.5142,30.4446,26.9819,600.116
no_noise,4812,30.5102,30.4731,27.0908,600.115
no_noise,4822,30.4615,30.4645,26.9281,600.111
no_noise,4832,30.4945,30.3991,26.9079,600.115
no_noise,4842,30.4841,30.4127,26.8353,600.112
no_noise,4852,30.5174,30.4521,26.9348,600.107
no_noise,4862,30.5259,30.4721,27.0428,600.11
no_noise,4872,30.5536,30.4882,27.1447,600.112
no_noise,4882,30.5693,30.4947,27.2145,600.115
no_noise,4892,30.5469,30.4517,27.0486,600.11
no_noise,4902,30.5643,30.4596,27.1527,600.113
no_noise,4912,30.5189,30.4662,27.0302,600.112
no_noise,4922,30.4958,30.4439,26.8796,600.113
no_noise,4932,30.5156,30.4563,26.9941,600.115
no_noise,4942,30.4947,30.4694,27.1127,600.117
no_noise,4952,30.4915,30.4951,27.094,600.12
no_noise,4962,30.5186,30.5029,27.1393,600.118
no_noise,4972,30.6062,30.5315,27.4126,600.118
no_noise,4982,30.5923,30.5302,27.4165,600.118
no_noise,4992,30.5784,30.5006,27.2732,600.122
no_noise,5002,30.6195,30.5169,27.4593,600.118
no_noise,5012,30.6264,30.5351,27.5738,600.115
no_noise,5022,30.5939,30.5323,27.4755,600.113
no_noise,5032,30.5851,30.5388,27.4991,600.113
no_noise,5042,30.6126,30.5246,27.5757,600.11
no_noise,5052,30.5789,30.5231,27.4163,600.112
no_noise,5062,30.5603,30.516,27.3745,600.115
no_noise,5072,30.5749,30.4918,27.3419,600.122
no_noise,5082,30.5525,30.4379,27.1343,600.124
no_noise,5092,30.5842,30.4498,27.2389,600.128
no_noise,5102,30.5823,30.4368,27.1804,600.126
no_noise,5112,30.5851,30.3738,27.0967,600.129
no_noise,5122,30.5826,30.367,27.0006,600.132
no_noise,5132,30.6069,30.3542,27.0205,600.135
no_noise,5142,30.576,30.3319,26.7983,600.137
no_noise,5152,30.5881,30.3056,26.7564,600.139
no_noise,5162,30.6134,30.3551,26.9328,600.14
no_noise,5172,30.5663,30.3185,26.6996,600.137
no_noise,5182,30.5569,30.2433,26.4582,600.135
no_noise,5192,30.5958,30.241,26.616,600.133
