layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.2.attention.self.key,2,K,0.995,1.2,0.0004483450320549309,0.0030905142159979126,0.18207118944978457,0.9993998577848987
bert.encoder.layer.2.attention.self.key,2,K,0.999,1.0,0.0006473640096373856,0.0010032228073334484,0.18219236722870158,0.9994208730978271
bert.encoder.layer.2.attention.self.key,2,K,0.999,1.1,0.0007121004106011242,0.0007312869547961767,0.18220647792050912,0.9994233995288895
bert.encoder.layer.2.attention.self.key,2,K,0.999,1.2,0.0007768368115648627,0.0005512213227106859,0.1822154209123668,0.9994254666088497
bert.encoder.layer.2.attention.output.dense,2,O,0.9,1.0,0.00013170507736504078,0.10000257236617265,0.022695978913825347,0.997030065448345
bert.encoder.layer.2.attention.output.dense,2,O,0.9,1.1,0.00014487558510154486,0.08876133219169273,0.022827912651114637,0.9973610279175226
bert.encoder.layer.2.attention.output.dense,2,O,0.9,1.2,0.00015804609283804892,0.07950816358778935,0.02293862214986841,0.9976302076634463
bert.encoder.layer.2.attention.output.dense,2,O,0.95,1.0,0.0002278482133988291,0.05000312358749536,0.023290013024940895,0.9984897684135483
bert.encoder.layer.2.attention.output.dense,2,O,0.95,1.1,0.000250633034738712,0.04419325084612473,0.02335841759733517,0.9986583502680773
bert.encoder.layer.2.attention.output.dense,2,O,0.95,1.2,0.0002734178560785949,0.039382926103269475,0.023414210973886202,0.9987966149498573
bert.encoder.layer.2.attention.output.dense,2,O,0.99,1.0,0.0008757272735238075,0.010002829602789915,0.023781823079362458,0.9997625154801322
bert.encoder.layer.2.attention.output.dense,2,O,0.99,1.1,0.0009633000008761884,0.009227444942176883,0.02379861851261238,0.999786057224123
bert.encoder.layer.2.attention.output.dense,2,O,0.99,1.2,0.001050872728228569,0.008338141208203644,0.023813367019049635,0.9998033977282332
bert.encoder.layer.2.attention.output.dense,2,O,0.995,1.0,0.0014273369451984763,0.005001414801394957,0.02385635248211568,0.9998354374676157
bert.encoder.layer.2.attention.output.dense,2,O,0.995,1.1,0.0015700706397183241,0.0039283706265181555,0.023865895946086436,0.9998398013030872
bert.encoder.layer.2.attention.output.dense,2,O,0.995,1.2,0.0017128043342381715,0.003050091318999129,0.023873333999621302,0.9998427870852519
bert.encoder.layer.2.attention.output.dense,2,O,0.999,1.0,0.0022959550842642784,0.0010032228073334484,0.023888151623067816,0.9998473805962744
bert.encoder.layer.2.attention.output.dense,2,O,0.999,1.1,0.0025255505926907065,0.0006320671167082532,0.02389054413492678,0.9998479547851523
bert.encoder.layer.2.attention.output.dense,2,O,0.999,1.2,0.002755146101117134,0.0004152533964420501,0.02389187862487478,0.999848299298479
