layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
1,FFN1,5,8,9,0.11916534428218706
1,FFN1,6,9,10,0.09007104396256721
1,FFN1,7,10,11,0.06625129356809836
1,FFN1,8,11,12,0.04817587263115254
1,FFN2,1,4,5,0.11232838847517854
1,FFN2,2,5,6,0.05124348168984497
1,FFN2,3,6,7,0.02443319501902573
1,FFN2,4,7,8,0.011984384242211633
1,FFN2,5,8,9,0.005915227450744215
1,FFN2,6,9,10,0.0029217016318182384
1,FFN2,7,10,11,0.001501274823282014
1,FFN2,8,11,12,0.0007555513794655474
1,K,1,4,5,0.22055802702903748
1,K,2,5,6,0.17057637125253672
1,K,3,6,7,0.11390484897419817
1,K,4,7,8,0.06927561554592102
1,K,5,8,9,0.039296906093950375
1,K,6,9,10,0.02146494065178559
1,K,7,10,11,0.011260876448577617
1,K,8,11,12,0.005739238157639192
1,O,1,4,5,0.1114241099516279
1,O,2,5,6,0.05089341987742615
1,O,3,6,7,0.024263719989804054
1,O,4,7,8,0.011786080720077618
1,O,5,8,9,0.005780850390464219
1,O,6,9,10,0.0028983243801391657
1,O,7,10,11,0.0014344437859023615
1,O,8,11,12,0.0007143899794550161
1,Q,1,4,5,0.2405750660433214
1,Q,2,5,6,0.1703472847095727
1,Q,3,6,7,0.10394175342762432
1,Q,4,7,8,0.0584912494557175
1,Q,5,8,9,0.031923283951584
1,Q,6,9,10,0.017019861471490406
1,Q,7,10,11,0.009136964588335074
1,Q,8,11,12,0.004825585523461424
1,V,1,4,5,0.22434467854858936
1,V,2,5,6,0.16065344685519148
1,V,3,6,7,0.10217114457394164
1,V,4,7,8,0.061196174989757934
1,V,5,8,9,0.03454607647758949
1,V,6,9,10,0.018935527860565703
1,V,7,10,11,0.009928152631538132
1,V,8,11,12,0.005044268127775378
2,FFN1,1,4,5,0.10651490059528201
2,FFN1,2,5,6,0.1671503820264314
2,FFN1,3,6,7,0.1749775352631917
2,FFN1,4,7,8,0.14791141812763658
2,FFN1,5,8,9,0.11365471465364446
2,FFN1,6,9,10,0.08370489157109653
2,FFN1,7,10,11,0.05914949748207776
2,FFN1,8,11,12,0.041383013142200456
2,FFN2,1,4,5,0.13310840242443145
2,FFN2,2,5,6,0.06205612579489002
2,FFN2,3,6,7,0.029783169533669846
2,FFN2,4,7,8,0.014467938604685999
2,FFN2,5,8,9,0.007122841564728695
2,FFN2,6,9,10,0.003540822998726647
2,FFN2,7,10,11,0.0018239831786500034
2,FFN2,8,11,12,0.0008684423263788184
2,K,1,4,5,0.20959109527140724
2,K,2,5,6,0.16386777417591286
2,K,3,6,7,0.11255189812448932
2,K,4,7,8,0.07149697239810991
2,K,5,8,9,0.04439645731704649
2,K,6,9,10,0.027703238022004986
2,K,7,10,11,0.017589205469543085
2,K,8,11,12,0.011254693063366145
2,O,1,4,5,0.117652376248681
2,O,2,5,6,0.053808572309059076
2,O,3,6,7,0.02562731748025704
2,O,4,7,8,0.012552750737454602
2,O,5,8,9,0.006174455602668299
2,O,6,9,10,0.003124879031303704
2,O,7,10,11,0.0015458911003204312
2,O,8,11,12,0.0007693866917915527
2,Q,1,4,5,0.2124070541886816
2,Q,2,5,6,0.14150318767051168
2,Q,3,6,7,0.08268894800576845
2,Q,4,7,8,0.0470473049897176
2,Q,5,8,9,0.02816032010571709
2,Q,6,9,10,0.019410664690714535
2,Q,7,10,11,0.016004474411638853
2,Q,8,11,12,0.01503290990558448
2,V,1,4,5,0.21554678006038558
2,V,2,5,6,0.16606581234929824
2,V,3,6,7,0.11046719898394988
2,V,4,7,8,0.0664822803165013
2,V,5,8,9,0.03791311119401924
2,V,6,9,10,0.02085445017048299
2,V,7,10,11,0.01135807574319241
2,V,8,11,12,0.006315553766867042
3,FFN1,1,4,5,0.11392082449041407
3,FFN1,2,5,6,0.17129707990449594
3,FFN1,3,6,7,0.17387062689548471
3,FFN1,4,7,8,0.14435800593841658
3,FFN1,5,8,9,0.10986493543678627
3,FFN1,6,9,10,0.07997567950710532
3,FFN1,7,10,11,0.05572795215889231
3,FFN1,8,11,12,0.03891513054304181
3,FFN2,1,4,5,0.120921502270987
3,FFN2,2,5,6,0.05545002011117447
3,FFN2,3,6,7,0.026440484231558974
